"Timestamp","Total score","¿Cuántos años tiene actualmente?","¿Cuántos años tiene actualmente? [Score]","¿Cuántos años tiene actualmente? [Feedback]","¿Utilizaste alguna vez otro Experimento por visión computacional?","¿Utilizaste alguna vez otro Experimento por visión computacional? [Score]","¿Utilizaste alguna vez otro Experimento por visión computacional? [Feedback]","Usabilidad del Experimento en colisiones [El código del experimento me resultó fácil de usar.]","Usabilidad del Experimento en colisiones [El código del experimento me resultó fácil de usar.] [Score]","Usabilidad del Experimento en colisiones [Durante mi trabajo en el experimento con el código logré realizar las acciones deseadas sin problemas.]","Usabilidad del Experimento en colisiones [Durante mi trabajo en el experimento con el código logré realizar las acciones deseadas sin problemas.] [Score]","Usabilidad del Experimento en colisiones [La información disponible en la parte superior de la ventana del código me ayudó a manipular las condiciones del problema experimental.]","Usabilidad del Experimento en colisiones [La información disponible en la parte superior de la ventana del código me ayudó a manipular las condiciones del problema experimental.] [Score]","Percepción de aprendizaje con el experimento de colisiones [El trabajo con el código de colisiones me ayudó a comprender mejor los conceptos del problema experimental]","Percepción de aprendizaje con el experimento de colisiones [El trabajo con el código de colisiones me ayudó a comprender mejor los conceptos del problema experimental] [Score]","Percepción de aprendizaje con el experimento de colisiones [El trabajo con el código de colisiones me permitió comprender mejor como se trabaja en el laboratorio de física.]","Percepción de aprendizaje con el experimento de colisiones [El trabajo con el código de colisiones me permitió comprender mejor como se trabaja en el laboratorio de física.] [Score]","Percepción de aprendizaje con el experimento de colisiones [El trabajo con el código de colisiones me contribuyó a presentar, manipular y organizar como se trabaja con datos experimentales.]","Percepción de aprendizaje con el experimento de colisiones [El trabajo con el código de colisiones me contribuyó a presentar, manipular y organizar como se trabaja con datos experimentales.] [Score]","Percepción de aprendizaje con el experimento de colisiones [El trabajo con el código de colisiones mejoró mis capacidades para diseñar, presentar e interpretar cómo se trabaja los datos experimentales con tablas y gráficos.]","Percepción de aprendizaje con el experimento de colisiones [El trabajo con el código de colisiones mejoró mis capacidades para diseñar, presentar e interpretar cómo se trabaja los datos experimentales con tablas y gráficos.] [Score]","Percepción de aprendizaje con el experimento de colisiones [El trabajo con el código de colisiones pude resolver las actividades planteadas en el problema experimental]","Percepción de aprendizaje con el experimento de colisiones [El trabajo con el código de colisiones pude resolver las actividades planteadas en el problema experimental] [Score]","Satisfacción con el código de colisiones [En general, estoy satisfecha/o con el código de colisiones que usamos en este curso]","Satisfacción con el código de colisiones [En general, estoy satisfecha/o con el código de colisiones que usamos en este curso] [Score]","Satisfacción con el código de colisiones [El trabajo con el código de colisiones fue relevante para mis estudios]","Satisfacción con el código de colisiones [El trabajo con el código de colisiones fue relevante para mis estudios] [Score]","Satisfacción con el código de colisiones [Me gustaría que se dispusiera otros códigos con visión computaiconal en estos problemas experimentales del curso]","Satisfacción con el código de colisiones [Me gustaría que se dispusiera otros códigos con visión computaiconal en estos problemas experimentales del curso] [Score]","Satisfacción con el código de colisiones [Me sentí motivada/o por el trabajo con el código en este proyecto experimental]","Satisfacción con el código de colisiones [Me sentí motivada/o por el trabajo con el código en este proyecto experimental] [Score]","¿Cómo valoras este tipo de recursos educativos para realizar actividades experimentales en los cursos de laboratorio de física?","¿Cómo valoras este tipo de recursos educativos para realizar actividades experimentales en los cursos de laboratorio de física? [Score]","¿Cómo valoras este tipo de recursos educativos para realizar actividades experimentales en los cursos de laboratorio de física? [Feedback]","¿Cómo valoras este tipo de recursos educativos para que apoyen a los laboratorios presenciales?","¿Cómo valoras este tipo de recursos educativos para que apoyen a los laboratorios presenciales? [Score]","¿Cómo valoras este tipo de recursos educativos para que apoyen a los laboratorios presenciales? [Feedback]","¿Qué recomendarías para mejorar el código de coliiones por visión computacional que utilizaste en este proyecto? ¿Por qué?","¿Qué recomendarías para mejorar el código de coliiones por visión computacional que utilizaste en este proyecto? ¿Por qué? [Score]","¿Qué recomendarías para mejorar el código de coliiones por visión computacional que utilizaste en este proyecto? ¿Por qué? [Feedback]"
"2025/06/25 2:18:12 PM CST","0.00 / 0","23","-- / 0","","No","-- / 0","","3","-- / 0","3","-- / 0","4","-- / 0","4","-- / 0","3","-- / 0","3","-- / 0","3","-- / 0","4","-- / 0","2","-- / 0","3","-- / 0","3","-- / 0","3","-- / 0","Es útil e interesante, pero requiere un equipo mejor","-- / 0","","Como apoyo sí puede ser muy útil y valioso","-- / 0","","Se necesita una cámara estabilizada para que las bolas y sus movimientos sean detectados correctamente. Las luces que se reflejan sobre la mesa de trabajo a veces son detectadas como bolas, retrasando el análisis ","-- / 0",""
"2025/06/25 2:19:22 PM CST","0.00 / 0","21","-- / 0","","No;","-- / 0","","5","-- / 0","4","-- / 0","5","-- / 0","5","-- / 0","5","-- / 0","5","-- / 0","5","-- / 0","5","-- / 0","4","-- / 0","4","-- / 0","5","-- / 0","5","-- / 0","Son herramientas muy útiles para llevar a la prácticas temas observados en Física que por lo general se quedan únicamente en el ámbito téorico. ","-- / 0","","Son excelentes recursos para enriquecer los conocimientos.","-- / 0","","1. Utilizar una cámara externa con trípode que permita realizar el experimento de forma eficiente sin tener que emplear la cámara propia de la laptop. 2. Apagar o disminuir la intensidad de las luces en el laboratorio mientras se realiza el experimento, ya que se observó que el código detectaba reflejos de la luz en la mesa como si fueran parte del experimento. ","-- / 0",""
"2025/06/25 2:21:22 PM CST","0.00 / 0","22","-- / 0","","No","-- / 0","","3","-- / 0","3","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","2","-- / 0","2","-- / 0","3","-- / 0","3","-- / 0","3","-- / 0","3","-- / 0","Bien","-- / 0","","Bien","-- / 0","","Todavía tiene fallas ya que no funciona del todo bien leyendo las pelotas y se pega","-- / 0",""
"2025/06/25 2:21:41 PM CST","0.00 / 0","20","-- / 0","","No","-- / 0","","4","-- / 0","4","-- / 0","5","-- / 0","5","-- / 0","5","-- / 0","4","-- / 0","4","-- / 0","5","-- / 0","3","-- / 0","2","-- / 0","3","-- / 0","2","-- / 0","Bastante interesantes, ya que en el laboratorio usualmente solo se usa la interfaz","-- / 0","","Para los laboratorios que permiten el uso de estas herramientas, son buenos ","-- / 0","","El asunto de la luz, la cámara identifica el reflejo de la luz en la mesa como una bola, en todo lo demás, el código funciona adecuadamente ","-- / 0",""
"2025/06/25 2:25:47 PM CST","0.00 / 0","20","-- / 0","","No","-- / 0","","5","-- / 0","3","-- / 0","5","-- / 0","3","-- / 0","3","-- / 0","3","-- / 0","2","-- / 0","2","-- / 0","5","-- / 0","3","-- / 0","5","-- / 0","4","-- / 0","Muy valiosos y útiles","-- / 0","","Muy importante","-- / 0","","Que detecte mejor las bolas, aveces es difícil trabajar si no detecta las esferas ","-- / 0",""
"2025/06/25 2:26:58 PM CST","0.00 / 0","21","-- / 0","","No","-- / 0","","4","-- / 0","3","-- / 0","4","-- / 0","3","-- / 0","4","-- / 0","4","-- / 0","3","-- / 0","4","-- / 0","3","-- / 0","3","-- / 0","3","-- / 0","2","-- / 0","Me parece bien ya que permite observar los fenómenos físicos ","-- / 0","","Excelente ","-- / 0","","Qué fuera más fácil reconocer las bolas, en ocasiones se complicaba","-- / 0",""
"2025/06/25 2:27:11 PM CST","0.00 / 0","20","-- / 0","","No","-- / 0","","3","-- / 0","3","-- / 0","4","-- / 0","3","-- / 0","5","-- / 0","4","-- / 0","4","-- / 0","3","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","Bueno","-- / 0","","Buenos","-- / 0","","Que se observen las pelotas y se puedan detectar","-- / 0",""
"2025/06/25 2:28:41 PM CST","0.00 / 0","23","-- / 0","","No","-- / 0","","4","-- / 0","4","-- / 0","5","-- / 0","3","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","3","-- / 0","3","-- / 0","2","-- / 0","5","-- / 0","5","-- / 0","Siento que es una nueva forma para hacer prácticas la cual es muy interesante,pornlo cuál me parece muy buena idea","-- / 0","","Me parece muy buena iniciativa ","-- / 0","","Una mejora en la parte de la detección de las bolas podría mejorar , fue el único fallo que ocurrió durante la práctica ","-- / 0",""
"2025/06/25 2:36:17 PM CST","0.00 / 0","20","-- / 0","","No","-- / 0","","3","-- / 0","2","-- / 0","4","-- / 0","4","-- / 0","3","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","3","-- / 0","2","-- / 0","3","-- / 0","Me parece muy interesante variar de usar la interfaz a usar la computadora ","-- / 0","","Me gusta y me parece interesante el uso de estos.","-- / 0","","Tal vez la forma en que detecta las colisiones ","-- / 0",""
"2025/06/25 2:45:08 PM CST","0.00 / 0","22","-- / 0","","No","-- / 0","","4","-- / 0","3","-- / 0","5","-- / 0","4","-- / 0","4","-- / 0","5","-- / 0","3","-- / 0","4","-- / 0","4","-- / 0","4","-- / 0","5","-- / 0","3","-- / 0","Me resulta ideal para ejemplificar la parte teórica ","-- / 0","","Me parece muy bien ","-- / 0","","Que reconozca mejor las bolas y se usen bolas que tengan mayor masa y así no se salen de la el campo que reconoce la cámara ","-- / 0",""
